,index,Date,Open,High,Low,Close,Volume,OpenInt,RSI,30day MA,140day MA,buy,sell,buy_spot,sell_spot,Tomorrows Returns,own,Strategy Returns,Cumulative Market Returns,Cumulative Strategy Returns
140,140,1970-07-22,1.5868,1.6079,1.5868,1.5868,51727,0,40.00961945500216,1.6479599999999979,2.0227350000000004,0,0,0.0,0.0,0.02110000000000012,False,0.0,0.02110000000000012,0.0
141,141,1970-07-23,1.5868,1.6079,1.5655,1.6079,310356,0,42.55806144439781,1.6430766666666645,2.017660714285715,0,0,0.0,0.0,-0.02110000000000012,False,0.0,0.0,0.0
142,142,1970-07-24,1.6079,1.6079,1.5868,1.5868,45979,0,40.736462191743286,1.6395833333333312,2.0128892857142864,0,0,0.0,0.0,0.0,False,0.0,0.0,0.0
143,143,1970-07-27,1.5868,1.5868,1.5655,1.5868,67818,0,40.736462191743286,1.6381966666666645,2.0082650000000006,0,0,0.0,0.0,0.0,False,0.0,0.0,0.0
144,144,1970-07-28,1.5868,1.5868,1.5868,1.5868,63221,0,40.736462191743286,1.6361266666666645,2.003640714285715,0,0,0.0,0.0,0.02110000000000012,False,0.0,0.02110000000000012,0.0
145,145,1970-07-29,1.5868,1.6284,1.5868,1.6079,149433,0,43.554393054319995,1.6333366666666644,1.9991614285714288,0,0,0.0,0.0,0.0,False,0.0,0.02110000000000012,0.0
146,146,1970-07-30,1.6079,1.6079,1.5655,1.6079,112648,0,43.55439305431999,1.6305566666666644,1.9949885714285716,0,0,0.0,0.0,0.040999999999999925,False,0.0,0.062100000000000044,0.0
147,147,1970-07-31,1.6079,1.6489,1.6079,1.6489,126442,0,48.79639841172858,1.6270633333333313,1.9909614285714285,0,0,0.0,0.0,-0.040999999999999925,False,0.0,0.02110000000000012,0.0
148,148,1970-08-03,1.6489,1.6489,1.6079,1.6079,101154,0,44.451039719305506,1.622169999999998,1.9870814285714289,0,0,0.0,0.0,0.0,False,0.0,0.02110000000000012,0.0
149,149,1970-08-04,1.6079,1.6079,1.5868,1.6079,113796,0,44.451039719305506,1.6159099999999982,1.9830542857142859,0,0,0.0,0.0,0.020499999999999963,False,0.0,0.04160000000000008,0.0
150,150,1970-08-05,1.6079,1.6284,1.6079,1.6284,72418,0,47.062733006979826,1.6103533333333315,1.9788814285714287,0,0,0.0,0.0,-0.04160000000000008,False,0.0,0.0,0.0
151,151,1970-08-06,1.6284,1.6284,1.5868,1.5868,175869,0,42.76759671994716,1.608256666666665,1.9748550000000002,0,0,0.0,0.0,0.02110000000000012,False,0.0,0.02110000000000012,0.0
152,152,1970-08-07,1.5868,1.6079,1.5868,1.6079,70118,0,45.42676033802257,1.606869999999998,1.970677142857143,0,0,0.0,0.0,-0.02110000000000012,False,0.0,0.0,0.0
153,153,1970-08-10,1.6079,1.6079,1.5868,1.5868,31035,0,43.30862424820543,1.6055033333333315,1.9665042857142858,0,0,0.0,0.0,-0.021300000000000097,False,0.0,-0.021300000000000097,0.0
154,154,1970-08-11,1.5868,1.5868,1.545,1.5655,96554,0,41.264119068756635,1.6027133333333314,1.96188,0,0,0.0,0.0,-0.020499999999999963,False,0.0,-0.04180000000000006,0.0
